12,240.2588,240.2588,240.2588
21,388.416,388.416,388.416
7,134.4882,134.4882,134.4882
13,303.126,303.126,303.126
15,291.0939,291.0939,291.0939
11,252.0761,252.0761,252.0761
20,332.7921,332.7921,332.7921
6,134.0524,134.0524,134.0524
13,258.742,258.742,258.742
8,144.9442,144.9442,144.9442
6,91.48202,91.48202,91.48202
6,97.57789,97.57789,97.57789
14,233.2882,233.2882,233.2882
5,82.9532,82.9532,82.9532
8,128.5306,128.5306,128.5306
8,150.2712,150.2712,150.2712
5,114.5402,114.5402,114.5402
16,278.7661,278.7661,278.7661
19,337.9382,337.9382,337.9382
5,95.35542,95.35542,95.35542
21,388.5348,388.5348,388.5348
13,240.3758,240.3758,240.3758
15,283.3926,283.3926,283.3926
11,218.1744,218.1744,218.1744
7,121.274,121.274,121.274
17,393.629,393.629,393.629
13,249.7747,249.7747,249.7747
5,120.3573,120.3573,120.3573
11,280.2442,280.2442,280.2442
18,395.0159,395.0159,395.0159
21,496.4704,496.4704,496.4704
13,312.6718,312.6718,312.6718
6,120.7275,120.7275,120.7275
11,307.2412,307.2412,307.2412
21,457.8589,457.8589,457.8589
19,374.6687,374.6687,374.6687
19,426.0249,426.0249,426.0249
17,356.7857,356.7857,356.7857
15,349.0556,349.0556,349.0556
8,184.063,184.063,184.063
7,184.9178,184.9178,184.9178
19,435.5795,435.5795,435.5795
15,382.6069,382.6069,382.6069
17,361.5482,361.5482,361.5482
5,81.81609,81.81609,81.81609
10,225.1008,225.1008,225.1008
6,117.1016,117.1016,117.1016
21,420.0327,420.0327,420.0327
21,424.7238,424.7238,424.7238
7,192.0037,192.0037,192.0037
10,230.6588,230.6588,230.6588
9,167.7055,167.7055,167.7055
9,196.2136,196.2136,196.2136
7,141.6743,141.6743,141.6743
7,156.7113,156.7113,156.7113
12,279.0501,279.0501,279.0501
8,175.121,175.121,175.121
12,308.6938,308.6938,308.6938
16,367.9424,367.9424,367.9424
11,244.3198,244.3198,244.3198
13,298.7225,298.7225,298.7225
17,413.6776,413.6776,413.6776
6,145.5078,145.5078,145.5078
5,104.0681,104.0681,104.0681
19,457.6474,457.6474,457.6474
20,402.6196,402.6196,402.6196
10,238.0506,238.0506,238.0506
21,435.7033,435.7033,435.7033
20,415.2679,415.2679,415.2679
10,226.2395,226.2395,226.2395
15,283.6767,283.6767,283.6767
11,243.4357,243.4357,243.4357
12,273.6157,273.6157,273.6157
14,261.753,261.753,261.753
17,376.6682,376.6682,376.6682
19,337.6413,337.6413,337.6413
10,259.2253,259.2253,259.2253
6,165.4264,165.4264,165.4264
13,302.3422,302.3422,302.3422
19,412.6801,412.6801,412.6801
12,233.1655,233.1655,233.1655
15,392.6081,392.6081,392.6081
16,346.8343,346.8343,346.8343
21,399.9463,399.9463,399.9463
7,156.2458,156.2458,156.2458
20,435.9294,435.9294,435.9294
20,493.6755,493.6755,493.6755
20,443.0137,443.0137,443.0137
